routerName,routerFile,tableName,exportName,ownershipKind,notes
accounting,accounting.ts,bills,bills,direct-import,Direct Drizzle schema import in router file.
accounting,accounting.ts,clients,clients,direct-import,Direct Drizzle schema import in router file.
accounting,accounting.ts,invoices,invoices,direct-import,Direct Drizzle schema import in router file.
accounting,accounting.ts,payments,payments,direct-import,Direct Drizzle schema import in router file.
accounting,accounting.ts,supplierProfiles,supplierProfiles,direct-import,Direct Drizzle schema import in router file.
admin,admin.ts,permissions,permissions,direct-import,Direct Drizzle schema import in router file.
admin,admin.ts,strains,strains,direct-import,Direct Drizzle schema import in router file.
admin,admin.ts,userPermissionOverrides,userPermissionOverrides,direct-import,Direct Drizzle schema import in router file.
admin,admin.ts,users,users,direct-import,Direct Drizzle schema import in router file.
adminImport,adminImport.ts,strains,strains,direct-import,Direct Drizzle schema import in router file.
adminSetup,adminSetup.ts,auditLogs,auditLogs,direct-import,Direct Drizzle schema import in router file.
adminSetup,adminSetup.ts,users,users,direct-import,Direct Drizzle schema import in router file.
alerts,alerts.ts,batches,batches,direct-import,Direct Drizzle schema import in router file.
alerts,alerts.ts,brands,brands,direct-import,Direct Drizzle schema import in router file.
alerts,alerts.ts,clientNeeds,clientNeeds,direct-import,Direct Drizzle schema import in router file.
alerts,alerts.ts,clients,clients,direct-import,Direct Drizzle schema import in router file.
alerts,alerts.ts,lots,lots,direct-import,Direct Drizzle schema import in router file.
alerts,alerts.ts,products,products,direct-import,Direct Drizzle schema import in router file.
analytics,analytics.ts,batches,batches,direct-import,Direct Drizzle schema import in router file.
analytics,analytics.ts,clients,clients,direct-import,Direct Drizzle schema import in router file.
analytics,analytics.ts,orders,orders,direct-import,Direct Drizzle schema import in router file.
analytics,analytics.ts,payments,payments,direct-import,Direct Drizzle schema import in router file.
appointmentRequests,appointmentRequests.ts,appointmentRequests,appointmentRequests,direct-import,Direct Drizzle schema import in router file.
appointmentRequests,appointmentRequests.ts,appointmentTypes,appointmentTypes,direct-import,Direct Drizzle schema import in router file.
appointmentRequests,appointmentRequests.ts,calendarAvailability,calendarAvailability,direct-import,Direct Drizzle schema import in router file.
