flow_id,flow_name,module,risk,criticality,preconditions,expected_outcomes,verification_proof,evidence_paths
GF-001,Direct Intake (Create Inventory Batch),inventory,High,High,"User can run inventory mutations (not public/demo user); permission inventory:create","Creates vendor/brand/product/lot/batch/batchLocations/audit; batchStatus=AWAITING_INTAKE; onHandQty set","Inventory list shows new batch; row/toast indicates submitted","client/src/components/work-surface/DirectIntakeWorkSurface.tsx; server/routers/inventory.ts (intake); server/inventoryIntakeService.ts (processIntake); drizzle/schema.ts (batches,batchLocations)"
GF-002,Procure-to-Pay (Purchase Order Lifecycle),inventory,Medium,Medium,"Access to /purchase-orders; supplier exists (canonical: supplierClientId; vendorId transitional)","purchaseOrders + purchaseOrderItems created; status updates via updateStatus","PO appears in list; inspector shows items; status changes persist","client/src/components/work-surface/PurchaseOrdersWorkSurface.tsx; server/routers/purchaseOrders.ts; drizzle/schema.ts (purchaseOrders,purchaseOrderItems,clients,supplierProfiles)"
GF-003,Create & Finalize Order (Canonical),sales,High,High,"Inventory available; client selected","orders draft created; finalizeDraft reserves inventory (reservedQty increments; sampleQty decrements for samples)","Inventory reservedQty increased; order no longer draft","client/src/pages/OrderCreatorPage.tsx; server/routers/orders.ts (createDraftEnhanced, finalizeDraft); drizzle/schema.ts (orders,orderLineItems,batches)"
GF-004,Orders Work Surface Draft Confirm (Legacy/Secondary),sales,High,High,"Draft order exists; inventory available","Order set isDraft=false; onHandQty (or sampleQty) decremented; consignment payables updated","Order appears in confirmed list; batch quantities reduced","client/src/components/work-surface/OrdersWorkSurface.tsx; server/ordersDb.ts (confirmDraftOrder); server/services/payablesService.ts"
GF-005,Pick & Pack (Bagging + Status),inventory,Medium,High,"Order exists with isDraft=false; user has admin role","Pick/pack status updates; bags + item assignments recorded","Pick/pack UI shows status and bag counts; orderBags/orderItemBags created","client/src/components/work-surface/PickPackWorkSurface.tsx; server/routers/pickPack.ts; drizzle/schema.ts (orderBags,orderItemBags,orders)"
GF-006,Invoice Lifecycle (Order/Fulfillment Driven + Management),finance,High,High,"Confirmed/shipped orders exist OR order-to-invoice trigger available","Invoice created from order/fulfillment path; invoice management in /accounting/invoices","Order shipment links to invoice; invoice appears in list and PDF/actions work","server/ordersDb.ts (updateOrderStatus, createInvoiceFromOrder); server/routers/invoices.ts (generateFromOrder, downloadPdf); client/src/components/work-surface/InvoicesWorkSurface.tsx"
GF-007,Record Payment (Canonical Target: payments.recordPayment),finance,High,High,"Invoice exists with amountDue > 0; accounting permissions","Canonical expected: payment row + invoice allocation/status update + GL posting in one operation","Verify invoice amountDue/status, payment row in /accounting/payments, GL entries in /accounting/general-ledger","server/routers/payments.ts (recordPayment); server/routers/accounting.ts (payments.create, invoices.recordPayment mismatch); client/src/components/work-surface/golden-flows/InvoiceToPaymentFlow.tsx"
GF-008,Client Ledger Review,finance,Medium,Medium,"Client exists","Ledger view loads; filters/export available","Ledger totals match invoice list totals for client (validate)","client/src/components/work-surface/ClientLedgerWorkSurface.tsx; server/routers/clientLedger.ts; server/routers/accounting.ts (ledger.list)"
GF-009,Returns Management (/returns) (Create + Optional Restock/Credit),sales,High,Medium,"Access to /returns; permission orders:update; order exists; optional: invoice exists for credit/GL reversal","Return row created; optional restock increments onHandQty + inserts inventoryMovements; optional credit memo + GL reversal + manual totalOwed decrement","Return appears in /returns list; inventory and credits/ledger reflect changes (validate)","client/src/pages/ReturnsPage.tsx; server/routers/returns.ts (create); server/accountingHooks.ts (reverseGLEntries); server/services/clientBalanceService.ts"
GF-010,Sample Request + Internal Fulfillment Operations,inventory,Medium,Medium,"Access to /samples as internal authorized user; monthly allocation available","sampleRequests created (PENDING); fulfillment path is internal/permissioned","Samples list shows request lifecycle; fulfillment mutates sampleQty and inventoryMovements","client/src/pages/SampleManagement.tsx; server/routers/samples.ts (createRequest, fulfillRequest); server/samplesDb.ts"
GF-011,Inventory Management (List + Status Changes),inventory,High,High,"Access to /inventory; permission inventory:read and inventory:update","Inventory list loads; status changes persist; quarantine transitions move quantities and create inventoryMovements","Batch status badge changes; quarantineQty/onHandQty move as expected","client/src/components/work-surface/InventoryWorkSurface.tsx; server/routers/inventory.ts (updateStatus); server/inventoryUtils.ts"
GF-012,Order Return Actions (Mark Returned -> Restock/Vendor Return),sales,High,Medium,"Shipped/delivered order exists; permission orders:update","fulfillmentStatus transitions to RETURNED; status history written; returnProcessing runs (inventory adjustments validate live)","Order shows RETURNED; inventory corrected (validate live)","client/src/components/work-surface/OrdersWorkSurface.tsx; server/routers/orders.ts (markAsReturned, processRestock, processVendorReturn); server/services/returnProcessing.ts"
