finding_id,finding_kind,timestamp,short_title,problem_statement,state,owner_issue,owner_issue_title,proof_requirement,source_artifact,source_evidence_ref,notes,evidence_links
C001,narrated,00:00:00.628,Okay.,Okay.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C001,Non-actionable transcript filler.,
C002,narrated,00:00:04.128,"So to start out, um as of now there's no way to navigate back to the ...","So to start out, um as of now there's no way to navigate back to the dashboard or home. So that needs to be there.",closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C002,Dashboard/home return path carried forward in the low-rebuild slice.,
C003,narrated,00:00:15.128,"Um in terms of the navigation bar, um","Um in terms of the navigation bar, um",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C003,Introductory narration; no independent product change request.,
C004,narrated,00:00:20.328,purchase orders should be mo moved to its own uh,purchase orders should be mo moved to its own uh,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C004,Buy-side navigation moved out of buried Operations path in the low-rebuild slice.,
C005,narrated,00:00:24.020,like headline like cell and operations and finance and admin purchase...,like headline like cell and operations and finance and admin purchase orders should be,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C005,Buy-side navigation moved out of buried Operations path in the low-rebuild slice.,
C006,narrated,00:00:32.670,a headline one that's just buy so there's cell there's buy then there...,a headline one that's just buy so there's cell there's buy then there's operations and finance and admin,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C006,Canonical top-level IA carried forward in the low-rebuild slice.,
C007,narrated,00:00:50.388,"Yeah, the buy and the operations one do not need to be buckets that t...","Yeah, the buy and the operations one do not need to be buckets that then expand into these if they're just individual ones like buy and operations would be.",closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C007,Canonical top-level IA carried forward in the low-rebuild slice.,
C008,narrated,00:01:09.388,Turn on the owner command center.,Turn on the owner command center.,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C008,Owner command center default behavior already exists and is browser-proven in the low-rebuild slice.,
C009,narrated,00:01:15.540,dashboard revamp thing that we did by default instead of showing this...,dashboard revamp thing that we did by default instead of showing this one.,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C009,Owner command center default behavior already exists and is browser-proven in the low-rebuild slice.,
C010,narrated,00:01:24.090,Click on sales here.,Click on sales here.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C010,"Navigation instruction only, not an independent finding.",
C011,narrated,00:01:35.190,Oh yeah.,Oh yeah.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C011,Acknowledgement only.,
C012,narrated,00:01:37.540,"I'm not sure why, but when I refreshed","I'm not sure why, but when I refreshed",closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C012,Core stale filter persistence was removed on touched surfaces in the low-rebuild slice.,
C013,narrated,00:01:43.188,This there's a bunch of like entries in the search fields often that ...,This there's a bunch of like entries in the search fields often that seem to just be persistent or something but we need to change that.,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C013,Core stale filter persistence was removed on touched surfaces in the low-rebuild slice.,
C014,narrated,00:02:01.488,I want to be able to sort this by status.,I want to be able to sort this by status.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C014,Status sorting is still not explicitly proven or closed in the active backlog.,
C015,narrated,00:02:16.308,"Let's yeah,","Let's yeah,",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C015,Navigation filler.,
C016,narrated,00:02:16.758,all that.,all that.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C016,Navigation filler.,
C017,narrated,00:02:30.108,Let's see here.,Let's see here.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C017,Navigation filler.,
C018,narrated,00:02:32.258,Yeah under cell when I click sales,Yeah under cell when I click sales,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C018,"Orientation narration, not an independent defect.",
C019,narrated,00:02:37.608,New sales order here should be all the way at the left that should be...,"New sales order here should be all the way at the left that should be like that's the first action,",open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C019,Sales action hierarchy still needs explicit closure proof.,
C020,narrated,00:02:43.058,right?,right?,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C020,Agreement filler.,
C021,narrated,00:02:43.808,That's that's the main action.,That's that's the main action.,open,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C021,Sales action hierarchy still needs explicit closure proof.,
C022,narrated,00:02:44.858,So,So,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C022,Lead-in filler.,
C023,narrated,00:02:45.844,Having that front and center. Having actually just like new sales ord...,Having that front and center. Having actually just like new sales order as one of these line items.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C023,Sales action hierarchy still needs explicit closure proof.,
C024,narrated,00:02:52.494,I think it's important too.,I think it's important too.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C024,Supporting emphasis only.,
C025,narrated,00:02:56.094,"Now when I click into here,","Now when I click into here,",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C025,Navigation lead-in only.,
C026,narrated,00:02:58.044,I want to be able to edit this if need be.,I want to be able to edit this if need be.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C026,Order editability is not fully closed in the active backlog.,
C027,narrated,00:03:03.044,Even depending,Even depending,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C027,Supporting phrase only.,
C028,narrated,00:03:06.244,on the status and all that.,on the status and all that.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C028,Supporting phrase only.,
C029,narrated,00:03:12.494,Yeah.,Yeah.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C029,Acknowledgement only.,
C030,narrated,00:03:13.524,These always need to be editable.,These always need to be editable.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C030,Order editability is not fully closed in the active backlog.,
C031,narrated,00:03:19.774,This doesn't seem to work.,This doesn't seem to work.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C031,Context-setting or already-carried-forward note pending explicit replay reuse.,
C032,narrated,00:03:24.924,Order must.,Order must.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C032,Transcript filler or acknowledgment without a separate product request.,
C033,narrated,00:03:32.274,This doesn't make sense to me.,This doesn't make sense to me.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C033,Context-setting or already-carried-forward note pending explicit replay reuse.,
C034,narrated,00:03:37.274,It should.,It should.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C034,Transcript filler or acknowledgment without a separate product request.,
C035,narrated,00:03:45.940,"Or it must be in status, so that's actually looking at the wrong thin...","Or it must be in status, so that's actually looking at the wrong thing because it's saying payment is pending, but it's saying status needs to be X, Y and Z, but it doesn't matter either way. As soon as a sales order is created, it should be able to generate the invoice.",closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C035,Invoice gating was corrected and browser-proven in the low-rebuild slice.,
