Capability ID,Workbook,Repo Snapshot,Current Surface,Flow Matrix Rows / Procedures,Flow Guide Sections,Feature Modules / IDs,Preservation Entries,Golden Flows,Discrepancies / Open Questions,User Job,Capability,Criticality,Trigger,Success Criteria,Roles,Permissions / Access Rules,Current UI Surface,Validations / Guards,Data Entities,API / Service Dependencies,Outputs / Side Effects,Hidden Dependencies,Failure Mode if Lost,Target Sheet Pattern,Migration Classification,Sidecar / Exception Need,Parity Test Requirement,Evidence Required,Owner,Status,Build Readiness,Preservation Entry Status,Prerequisite Ledger
SHT-PTR-001,Sales -> Sales Sheets,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/sales?tab=sales-sheets; /sales-sheets,see authoritative Sales Sheets detailed ledger,none found for dedicated sales-sheet section; Domain 4.1 Orders; Domain 4.6 Order Pricing; Domain 12.1 Live Shopping Sessions,DF-021; DF-022; DF-016,sales-sheets-capability-ledger.csv authoritative,GF-003,Pointer row only; do not restate Sales Sheets capability coverage here,Find the authoritative Sales Sheets migration truth quickly,Pointer to the existing Sales Sheets detailed ledger,P0,Need Sales Sheets coverage for build or seam work,Reader lands in the Sales Sheets detailed ledger before continuing,All spreadsheet-native builders,documentation access,docs/specs/spreadsheet-native-ledgers/sales-sheets-capability-ledger.csv,Do not duplicate the detailed ledger; follow it,sales_sheets; inventory; clients; preview outputs,see authoritative Sales Sheets detailed ledger,Authoritative coverage pointer,Orders adjacency; Live Shopping adjacency; output sidecar,Agents miss or duplicate the real Sales Sheets coverage,pointer-row,exception-surface,none,Follow the detailed ledger parity plan instead of this pack CSV,Pointer readback; referenced-ledger existence proof,Sales pilot team,mapped,detailed ledger exists,pointer,docs/specs/spreadsheet-native-ledgers/sales-sheets-capability-ledger.csv
INT-PTR-001,Operations -> Intake,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=receiving,see authoritative Direct Intake detailed ledger,Domain 16.2 PO Intake; Domain 3.2A Current Inventory Workbook; Domain 3.2 Inventory Movements,DF-010; DF-053; DF-077,direct-intake-capability-ledger.csv authoritative,GF-001,Pointer row only; do not restate Direct Intake capability coverage here,Find the authoritative Direct Intake migration truth quickly,Pointer to the existing Direct Intake detailed ledger,P0,Need Intake coverage for build or seam work,Reader lands in the Direct Intake detailed ledger before continuing,All spreadsheet-native builders,documentation access,docs/specs/spreadsheet-native-ledgers/direct-intake-capability-ledger.csv,Do not duplicate the detailed ledger; follow it,inventory batches; intake draft rows; media; receipts,see authoritative Direct Intake detailed ledger,Authoritative coverage pointer,PO receiving adjacency; receipt and discrepancy surfaces; media cleanup,Agents miss or duplicate the real Direct Intake coverage,pointer-row,exception-surface,none,Follow the detailed ledger parity plan instead of this pack CSV,Pointer readback; referenced-ledger existence proof,Operations pilot team,mapped,detailed ledger exists,pointer,docs/specs/spreadsheet-native-ledgers/direct-intake-capability-ledger.csv
PO-PTR-001,Procurement -> Purchase Orders,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/purchase-orders,see authoritative Purchase Orders detailed ledger,Domain 16.1 Purchase Orders; Domain 16.2 PO Intake; Domain 19.1 Cost of Goods Sold,DF-018; DF-082; DF-053,purchase-orders-capability-ledger.csv authoritative,GF-002,Pointer row only; do not restate Purchase Orders capability coverage here,Find the authoritative Purchase Orders migration truth quickly,Pointer to the existing Purchase Orders detailed ledger,P0,Need Purchase Orders coverage for build or seam work,Reader lands in the Purchase Orders detailed ledger before continuing,All spreadsheet-native builders,documentation access,docs/specs/spreadsheet-native-ledgers/purchase-orders-capability-ledger.csv,Do not duplicate the detailed ledger; follow it,purchase_orders; purchase_order_lines; receiving counts; intake drafts,see authoritative Purchase Orders detailed ledger,Authoritative coverage pointer,receiving adjacency; bulk COGS semantics; intake draft handoff,Agents miss or duplicate the real Purchase Orders coverage,pointer-row,exception-surface,none,Follow the detailed ledger parity plan instead of this pack CSV,Pointer readback; referenced-ledger existence proof,Procurement pilot team,mapped,detailed ledger exists,pointer,docs/specs/spreadsheet-native-ledgers/purchase-orders-capability-ledger.csv
FUL-PK-001,Operations -> Fulfillment,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=shipping; /pick-pack,pickPack.getPickList; pickPack.getOrderDetails; search and filter state in PickPackWorkSurface,Domain 4.3 Order Status & Fulfillment; Domain 4.5 Pick & Pack (WS-003),DF-023,DF-023,GF-005,The recording strongly pushes for more density and faster triage but does not replace the current queue behavior,Find the right order and understand what must be packed,"Preserve fulfillment queue browse, search, filter, and selected-order inspection behavior",P0,Open fulfillment or select an order,Pick queue remains searchable and selection reveals the right order detail without losing throughput,Operations Staff; Fulfillment Lead,pick-pack access,PickPackWorkSurface queue and detail layout,Selection integrity and queue filters must remain trustworthy,pick_pack orders; line items; bag summaries,pickPack.getPickList; pickPack.getOrderDetails,Operators can find active work and inspect it quickly,Queue state; selection persistence; order-detail hydration,Fulfillment slows down and operators act on the wrong order,conveyor-sheet,sheet-native,none,Pick-list browse and selection regression,Queue proof; filter proof; detail proof,Operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/fulfillment-capability-ledger.csv (planned)
FUL-PK-002,Operations -> Fulfillment,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=shipping; /pick-pack,bag counts; bag identifiers; item-to-bag assignments in pickPack router,Domain 4.5 Pick & Pack (WS-003),DF-023,DF-023,GF-005,"The recording asks for bagging to become visually first-class, but bag IDs already exist in current behavior",Track bag state explicitly while packing,"Preserve existing bag identifiers, bag summaries, and item-to-bag assignment state",P0,Inspect an order with packed items or bags,Bag state remains visible and tied to the right items,Operations Staff; Fulfillment Lead,pick-pack access,PickPackWorkSurface bag cards and order detail,Bag identifiers and assignment state must not bleed across orders,pick_pack bags; item assignments; orders,pickPack.getOrderDetails,Bag state remains reviewable and actionable,Bag identifier generation; per-order bag state,Bagging becomes invisible and packing errors increase,document-sheet,sheet-native,none,Bag-state inspection regression,Bag proof; order-detail proof,Operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/fulfillment-capability-ledger.csv (planned)
FUL-PK-003,Operations -> Fulfillment,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=shipping; /pick-pack,pickPack.packItems; pickPack.unpackItems; pickPack.markAllPacked,Domain 4.5 Pick & Pack (WS-003),DF-023,DF-023,GF-005,"Auto-bag policy is still open, but current manual pack and unpack behavior is real today",Move items into or out of packed state safely,"Preserve pack, unpack, and mark-all-packed workflows with explicit bag and item state changes",P0,"Pack selected items, unpack items, or finish an order's packing run",Packing mutations update the right order and item state without hiding what changed,Operations Staff; Fulfillment Lead,pick-pack access; mutation write,PickPackWorkSurface action bar,Packing actions must stay explicit and reversible where current behavior allows it,pick_pack items; bag assignments; order readiness,pickPack.packItems; pickPack.unpackItems; pickPack.markAllPacked,Packing state advances or reverses accurately,Bag state; order detail; readiness prerequisites,Operators cannot complete packing reliably,document-sheet,sheet-native,none,"Pack, unpack, and mark-all-packed regression",Mutation proof; state-change proof,Operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/fulfillment-capability-ledger.csv (planned)
FUL-PK-004,Operations -> Fulfillment,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=shipping; /pick-pack,pickPack.markOrderReady; manifest CSV export; keyboard shortcuts,Domain 4.3 Order Status & Fulfillment; Domain 4.5 Pick & Pack (WS-003); Appendix Keyboard Contract,DF-023,DF-023,GF-005,"The review wants manifest language de-emphasized, but the current export contract still exists",Finish packing and hand the order off to shipping,"Preserve ready-for-shipping transition, export behavior, and keyboard-discoverability support",P0,Mark an order ready or export current packing data,Orders advance to ready-for-shipping safely and current output support stays available,Operations Staff; Fulfillment Lead,pick-pack access; fulfillment write,PickPackWorkSurface readiness and export controls,Readiness must remain explicit; shortcut support must not disappear silently,orders; pick_pack state; exports,pickPack.markOrderReady; current export helper,Order readiness advances and export remains available,Shipping handoff; keyboard discoverability; output naming,Packed orders stall before shipment or operators lose output support,conveyor-sheet,sheet-plus-sidecar,Shipping step and export can stay adjacent to the main packing sheet,Ready-state and export regression,Ready-state proof; export proof; shortcut proof,Operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/fulfillment-capability-ledger.csv (planned)
ACCT-INV-001,Accounting -> Invoices,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/accounting?tab=invoices,invoice list and filter behavior in InvoicesWorkSurface,Domain 1.1 Invoices (Accounts Receivable),DF-080; ACCT-001,ACCT-001,GF-004,"The recording did not deeply review invoices, so current accounting behavior is the stronger guide",Find and review invoices quickly,"Preserve invoice browse, filter, and selection behavior on the accounting surface",P0,Open invoices or change filters,Invoice list and selected invoice context remain trustworthy,Accounting Staff; Manager,accounting access; invoice read,InvoicesWorkSurface registry and detail,Filters and selection must stay coherent,invoices; clients; invoice status,invoice list procedures in current accounting surface,Invoice registry remains usable for accounting triage,Selection state; aging and status context,Accounting loses a usable invoice review surface,review-sheet,sheet-native,none,Invoice browse and selection regression,List proof; filter proof; selection proof,Accounting pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/invoices-capability-ledger.csv (planned)
ACCT-INV-002,Accounting -> Invoices,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/accounting?tab=invoices,Record Payment handoff; mark sent; reminder sent; markPaidMutation; void invoice behavior,Domain 1.1 Invoices (Accounts Receivable); Domain 1.2 Payments,DF-080; ACCT-001,ACCT-001,GF-004,Invoice action ownership overlaps with payment and document-output seams; current behavior must remain intact until that is resolved,Advance invoice status and payment follow-up from the invoice surface,"Preserve invoice actions including payment handoff, send/remind, mark paid, and void",P0,Act on a selected invoice,Invoice actions remain available and status transitions stay accurate,Accounting Staff; Manager,accounting access; invoice write; payment write where linked,InvoicesWorkSurface action strip,Void and paid transitions must remain explicit and safe,invoices; payments; invoice statuses,current invoice actions; payment handoff,Invoice state can advance without leaving the accounting workflow,Payment adjacency; notification copy; status guards,AR workflow breaks or invoice truth becomes inconsistent,review-sheet,sheet-plus-sidecar,Payment creation can stay adjacent while still reachable from invoices,Invoice-action regression,Action proof; status proof; handoff proof,Accounting pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/invoices-capability-ledger.csv (planned)
ACCT-INV-003,Accounting -> Invoices,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/accounting?tab=invoices,Download PDF; Print Invoice,Domain 1.1 Invoices (Accounts Receivable),DF-080; ACCT-001,ACCT-001,GF-004,"ORD-D010 still leaves invoice output ownership partially open, but the current output behavior is real and must survive",Produce an official invoice artifact,Preserve invoice PDF download and print behavior,P0,Open invoice output actions,Operators can still generate the official invoice artifact from the accounting surface,Accounting Staff; Manager,accounting access; invoice output access,InvoicesWorkSurface output actions,Output must stay tied to the right invoice and state,invoices; invoice documents,current invoice output handlers,PDF and print outputs remain available,Output ownership seam; document formatting contract,Accounting loses an official invoice artifact path,review-sheet,sheet-plus-sidecar,Document output may remain adjacent to the main registry,Invoice-output regression,PDF proof; print proof,Accounting pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/invoices-capability-ledger.csv (planned)
