page_key,finding_id,severity,title,primary_theme,all_themes,primitive
AccountPage,UX-1,P2,Duplicated 'Profile Information' header wastes vertical space,T-06,"T-06,T-04",WorkspaceFilterBar
AccountPage,UX-2,P2,Save Changes button reads as disabled when form is valid,PER-PAGE,,per-page ticket
AccountPage,UX-3,P3,'Personal' tag next to every H2 is noise,PER-PAGE,,per-page ticket
BankAccounts,UX-1,P1,Balance column truncates the page's headline numbers,T-05,T-05,SpreadsheetPilotGrid.numeric
BankAccounts,UX-2,P1,"Total cash balance is buried as a header pill, not a KPI",T-05,T-05,SpreadsheetPilotGrid.numeric
BankAccounts,UX-3,P2,Active column is a bare checkbox with no label or meaning,T-15,T-15,config/glossary
BankTransactions,UX-1,P1,Empty state hides the table schema and next action,T-02,"T-02,T-03",OperationalStateSurface
BankTransactions,UX-2,P2,Summary chips and filter chips are visually indistinguishable,T-02,"T-02,T-06",OperationalStateSurface
BankTransactions,UX-3,P2,Keyboard-shortcut legend floats detached below the empty card,T-05,"T-05,T-04",SpreadsheetPilotGrid.numeric
Bills,UX-1,P0,DUE AMT and STATUS columns render raw HTML instead of values,T-05,"T-05,T-06",SpreadsheetPilotGrid.numeric
Bills,UX-2,P1,Bill # column truncates the only unique identifier,T-07,T-07,ManusSheet
Bills,UX-3,P1,No visible entry point for the Create Bill dialog,T-05,"T-05,T-04,T-12",SpreadsheetPilotGrid.numeric
CashLocations,UX-1,P1,"Empty state is a dead-end sentence, not a guided first action",T-02,T-02,OperationalStateSurface
CashLocations,UX-2,P2,"'Select Location' KPI card is a placeholder, not a metric",T-04,T-04,AppSidebar+navState
CashLocations,UX-3,P2,Transfer button active with zero locations and no disabled reasoning,PER-PAGE,,per-page ticket
ChartOfAccounts,UX-1,P1,"Groups are collapsed by default, hiding all 9 accounts behind disclosure triangles",T-04,T-04,AppSidebar+navState
ChartOfAccounts,UX-2,P2,Type filter chips duplicate the row grouping and leave no clear default action,T-06,"T-06,T-04",WorkspaceFilterBar
ChartOfAccounts,UX-3,P2,'+ Add Row' is the wrong verb for creating a GL account,T-15,T-15,config/glossary
AccountingDashboard,UX-1,P1,Sidebar shows 'Sales Quick Actions' while user is in Accounting,T-08,"T-08,T-04",LinearWorkspaceShell.tabGroups
AccountingDashboard,UX-2,P1,Only Payables has a primary action; Receivables is a dead stat,T-03,T-03,PageHeader.actions
AccountingDashboard,UX-3,P1,"'Queue Pressure: 15' is a meta-stat, not a finance signal",PER-PAGE,,per-page ticket
AccountingDashboard,UX-4,P2,Reconciliation 'Never' state is a dead-end,PER-PAGE,,per-page ticket
AccountingDashboard,UX-5,P2,'4 items need attention' banner duplicates the Unrecorded Payments card,T-06,T-06,WorkspaceFilterBar
AccountingDashboard,UX-6,P2,KPI cards are not clickable and have no data freshness stamp,T-05,"T-05,T-08,T-10,T-12",SpreadsheetPilotGrid.numeric
AccountingDashboard,UX-7,P2,Tab row is 10 items wide with no grouping and competes with the in-page H1,T-08,T-08,LinearWorkspaceShell.tabGroups
AccountingDashboard,UX-8,P3,'Finance control center' and 'Reconciliation State' pills look interactive but aren't,T-06,T-06,WorkspaceFilterBar
Expenses,UX-1,P1,Empty state doesn't guide first expense creation,T-02,"T-02,T-03",OperationalStateSurface
Expenses,UX-2,P2,Category-breakdown cards and category CRUD are not discoverable,T-04,"T-04,T-15",AppSidebar+navState
Expenses,UX-3,P3,Keyboard hint panel dominates the empty viewport,T-04,"T-04,T-13",AppSidebar+navState
FiscalPeriods,UX-1,P1,Empty state dead-ends the first-run user,T-02,T-02,OperationalStateSurface
FiscalPeriods,UX-2,P2,Close Period and Lock Period are enabled with nothing selected,PER-PAGE,,per-page ticket
FiscalPeriods,UX-3,P3,Duplicate 'Fiscal Periods' headings stack vertically,T-06,T-06,WorkspaceFilterBar
GeneralLedger,UX-1,P1,Page loads empty because no filters are defaulted,T-08,T-08,LinearWorkspaceShell.tabGroups
GeneralLedger,UX-2,P2,'Balance: $0.00' chip is styled like a status filter,T-05,T-05,SpreadsheetPilotGrid.numeric
GeneralLedger,UX-3,P2,Keyboard-shortcut inspector dominates the empty state and Reverse Entry looks enabled with no selection,T-02,"T-02,T-04",OperationalStateSurface
AccountingWorkspace.invoices,UX-1,P0,Status column renders raw `<spar...` markup in every row,PER-PAGE,,per-page ticket
AccountingWorkspace.invoices,UX-2,P1,Bulk action buttons are enabled with zero rows selected,T-03,T-03,PageHeader.actions
AccountingWorkspace.invoices,UX-3,P1,'0 overdue' chip contradicts the data in the table,PER-PAGE,,per-page ticket
AccountingWorkspace.invoices,UX-4,P1,Four column headers are truncated at default width,PER-PAGE,,per-page ticket
AccountingWorkspace.invoices,UX-5,P2,Toolbar hierarchy dilutes the primary action and hides AR Aging,T-07,"T-07,T-03",ManusSheet
AccountingWorkspace.invoices,UX-6,P2,Search input placeholder is clipped,T-12,T-12,OperationalStateSurface.error
