filename,sourcePath,sourceStream,prefix,classification,rationale
0000_next_texas_twister.sql,drizzle/0000_next_texas_twister.sql,drizzle-root,0000,journaled,Root drizzle migration prefix exists in Drizzle journal.
0000_next_texas_twister,drizzle/meta/_journal.json,journal,0000,canonical,Journal entry recorded by Drizzle metadata.
0001_add_workflow_queue_tables.sql,drizzle/migrations/0001_add_workflow_queue_tables.sql,drizzle-migrations,0001,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0001_live_shopping.sql,drizzle/migrations/0001_live_shopping.sql,drizzle-migrations,0001,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0001_vip_portal_schema.sql,drizzle/migrations/0001_vip_portal_schema.sql,drizzle-migrations,0001,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0001_clumsy_adam_destine.sql,drizzle/0001_clumsy_adam_destine.sql,drizzle-root,0001,journaled,Root drizzle migration prefix exists in Drizzle journal.
0001_clumsy_adam_destine,drizzle/meta/_journal.json,journal,0001,canonical,Journal entry recorded by Drizzle metadata.
0002_add_deployments_table.sql,drizzle/migrations/0002_add_deployments_table.sql,drizzle-migrations,0002,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0002_dashboard_preferences.sql,drizzle/migrations/0002_dashboard_preferences.sql,drizzle-migrations,0002,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0002_many_kat_farrell.sql,drizzle/0002_many_kat_farrell.sql,drizzle-root,0002,journaled,Root drizzle migration prefix exists in Drizzle journal.
0002_many_kat_farrell,drizzle/meta/_journal.json,journal,0002,canonical,Journal entry recorded by Drizzle metadata.
0003_inventory_stability_improvements_mysql.sql,drizzle/migrations/0003_inventory_stability_improvements_mysql.sql,drizzle-migrations,0003,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0003_inventory_stability_improvements_production.sql,drizzle/migrations/0003_inventory_stability_improvements_production.sql,drizzle-migrations,0003,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0003_inventory_stability_improvements.sql,drizzle/migrations/0003_inventory_stability_improvements.sql,drizzle-migrations,0003,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0003_regular_red_hulk.sql,drizzle/0003_regular_red_hulk.sql,drizzle-root,0003,journaled,Root drizzle migration prefix exists in Drizzle journal.
0003_regular_red_hulk,drizzle/meta/_journal.json,journal,0003,canonical,Journal entry recorded by Drizzle metadata.
0004_add_todo_lists.sql,drizzle/migrations/0004_add_todo_lists.sql,drizzle-migrations,0004,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0004_abnormal_mephisto.sql,drizzle/0004_abnormal_mephisto.sql,drizzle-root,0004,journaled,Root drizzle migration prefix exists in Drizzle journal.
0004_abnormal_mephisto,drizzle/meta/_journal.json,journal,0004,canonical,Journal entry recorded by Drizzle metadata.
0005_add_comments_system.sql,drizzle/migrations/0005_add_comments_system.sql,drizzle-migrations,0005,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0005_faulty_ben_urich.sql,drizzle/0005_faulty_ben_urich.sql,drizzle-root,0005,journaled,Root drizzle migration prefix exists in Drizzle journal.
0005_faulty_ben_urich,drizzle/meta/_journal.json,journal,0005,canonical,Journal entry recorded by Drizzle metadata.
0006_add_inbox_system.sql,drizzle/migrations/0006_add_inbox_system.sql,drizzle-migrations,0006,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0006_chunky_penance.sql,drizzle/0006_chunky_penance.sql,drizzle-root,0006,journaled,Root drizzle migration prefix exists in Drizzle journal.
0006_chunky_penance,drizzle/meta/_journal.json,journal,0006,canonical,Journal entry recorded by Drizzle metadata.
0007_add_calendar_recurrence_index.sql,drizzle/migrations/0007_add_calendar_recurrence_index.sql,drizzle-migrations,0007,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0007_sparkling_phantom_reporter.sql,drizzle/0007_sparkling_phantom_reporter.sql,drizzle-root,0007,journaled,Root drizzle migration prefix exists in Drizzle journal.
0007_sparkling_phantom_reporter,drizzle/meta/_journal.json,journal,0007,canonical,Journal entry recorded by Drizzle metadata.
0008_fix_calendar_events_schema.sql,drizzle/migrations/0008_fix_calendar_events_schema.sql,drizzle-migrations,0008,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0008_premium_sauron.sql,drizzle/0008_premium_sauron.sql,drizzle-root,0008,journaled,Root drizzle migration prefix exists in Drizzle journal.
0008_premium_sauron,drizzle/meta/_journal.json,journal,0008,canonical,Journal entry recorded by Drizzle metadata.
0009_fix_calendar_recurrence_instances_schema.sql,drizzle/migrations/0009_fix_calendar_recurrence_instances_schema.sql,drizzle-migrations,0009,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0009_slow_silk_fever.sql,drizzle/0009_slow_silk_fever.sql,drizzle-root,0009,journaled,Root drizzle migration prefix exists in Drizzle journal.
0009_slow_silk_fever,drizzle/meta/_journal.json,journal,0009,canonical,Journal entry recorded by Drizzle metadata.
0010_add_missing_event_types.sql,drizzle/migrations/0010_add_missing_event_types.sql,drizzle-migrations,0010,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0010_left_night_thrasher.sql,drizzle/0010_left_night_thrasher.sql,drizzle-root,0010,journaled,Root drizzle migration prefix exists in Drizzle journal.
0010_left_night_thrasher,drizzle/meta/_journal.json,journal,0010,canonical,Journal entry recorded by Drizzle metadata.
0011_add_deleted_at_indexes.sql,drizzle/migrations/0011_add_deleted_at_indexes.sql,drizzle-migrations,0011,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0011_noisy_gabe_jones.sql,drizzle/0011_noisy_gabe_jones.sql,drizzle-root,0011,journaled,Root drizzle migration prefix exists in Drizzle journal.
0011_noisy_gabe_jones,drizzle/meta/_journal.json,journal,0011,canonical,Journal entry recorded by Drizzle metadata.
0012_add_deleted_at_to_ar_ap_tables.sql,drizzle/migrations/0012_add_deleted_at_to_ar_ap_tables.sql,drizzle-migrations,0012,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0012_daffy_shotgun.sql,drizzle/0012_daffy_shotgun.sql,drizzle-root,0012,journaled,Root drizzle migration prefix exists in Drizzle journal.
0012_daffy_shotgun,drizzle/meta/_journal.json,journal,0012,canonical,Journal entry recorded by Drizzle metadata.
0013_add_pick_pack_tables.sql,drizzle/migrations/0013_add_pick_pack_tables.sql,drizzle-migrations,0013,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0013_mute_bill_hollister.sql,drizzle/0013_mute_bill_hollister.sql,drizzle-root,0013,journaled,Root drizzle migration prefix exists in Drizzle journal.
0013_mute_bill_hollister,drizzle/meta/_journal.json,journal,0013,canonical,Journal entry recorded by Drizzle metadata.
0014_add_referral_credits.sql,drizzle/migrations/0014_add_referral_credits.sql,drizzle-migrations,0014,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0014_lying_guardian.sql,drizzle/0014_lying_guardian.sql,drizzle-root,0014,journaled,Root drizzle migration prefix exists in Drizzle journal.
0014_lying_guardian,drizzle/meta/_journal.json,journal,0014,canonical,Journal entry recorded by Drizzle metadata.
0015_add_receipts_table.sql,drizzle/migrations/0015_add_receipts_table.sql,drizzle-migrations,0015,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0015_brave_wraith.sql,drizzle/0015_brave_wraith.sql,drizzle-root,0015,journaled,Root drizzle migration prefix exists in Drizzle journal.
0015_brave_wraith,drizzle/meta/_journal.json,journal,0015,canonical,Journal entry recorded by Drizzle metadata.
0016_add_ws007_010_tables.sql,drizzle/migrations/0016_add_ws007_010_tables.sql,drizzle-migrations,0016,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0016_oval_natasha_romanoff.sql,drizzle/0016_oval_natasha_romanoff.sql,drizzle-root,0016,journaled,Root drizzle migration prefix exists in Drizzle journal.
0016_oval_natasha_romanoff,drizzle/meta/_journal.json,journal,0016,canonical,Journal entry recorded by Drizzle metadata.
0017_add_ws011_014_tables.sql,drizzle/migrations/0017_add_ws011_014_tables.sql,drizzle-migrations,0017,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0017_needy_whistler.sql,drizzle/0017_needy_whistler.sql,drizzle-root,0017,journaled,Root drizzle migration prefix exists in Drizzle journal.
0017_needy_whistler,drizzle/meta/_journal.json,journal,0017,canonical,Journal entry recorded by Drizzle metadata.
0018_add_wishlist_field.sql,drizzle/migrations/0018_add_wishlist_field.sql,drizzle-migrations,0018,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0018_magenta_changeling.sql,drizzle/0018_magenta_changeling.sql,drizzle-root,0018,journaled,Root drizzle migration prefix exists in Drizzle journal.
0018_magenta_changeling,drizzle/meta/_journal.json,journal,0018,canonical,Journal entry recorded by Drizzle metadata.
0019_fix_vip_portal_fk_constraint.sql,drizzle/migrations/0019_fix_vip_portal_fk_constraint.sql,drizzle-migrations,0019,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0019_slippery_dust.sql,drizzle/0019_slippery_dust.sql,drizzle-root,0019,journaled,Root drizzle migration prefix exists in Drizzle journal.
0019_slippery_dust,drizzle/meta/_journal.json,journal,0019,canonical,Journal entry recorded by Drizzle metadata.
0020_add_missing_client_columns.sql,drizzle/migrations/0020_add_missing_client_columns.sql,drizzle-migrations,0020,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0020_add_strain_type.sql,drizzle/0020_add_strain_type.sql,drizzle-root,0020,journaled,Root drizzle migration prefix exists in Drizzle journal.
0020_flimsy_makkari.sql,drizzle/0020_flimsy_makkari.sql,drizzle-root,0020,journaled,Root drizzle migration prefix exists in Drizzle journal.
0020_flimsy_makkari,drizzle/meta/_journal.json,journal,0020,canonical,Journal entry recorded by Drizzle metadata.
0021_add_feature_flags.sql,drizzle/migrations/0021_add_feature_flags.sql,drizzle-migrations,0021,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
