tableName,exportName,schemaFile,primaryDomainOwner,lifecycleStatus,forkRelevance,notes
accounts,accounts,schema.ts,accounting,canonical,adjacent,
achievements,achievements,schema-gamification.ts,cross-product,canonical,adjacent,
admin_impersonation_actions,adminImpersonationActions,schema-vip-portal.ts,cross-product,canonical,adjacent,
admin_impersonation_sessions,adminImpersonationSessions,schema-vip-portal.ts,cross-product,canonical,adjacent,
alert_configurations,alertConfigurations,schema.ts,cross-product,canonical,adjacent,
appointment_check_ins,appointmentCheckIns,schema-scheduling.ts,calendar,exception,exception-surface,
appointment_referrals,appointmentReferrals,schema-scheduling.ts,calendar,exception,exception-surface,
appointment_requests,appointmentRequests,schema.ts,calendar,exception,exception-surface,Scheduling remains an exception-owned surface.
appointment_status_history,appointmentStatusHistory,schema-scheduling.ts,calendar,exception,exception-surface,
appointment_types,appointmentTypes,schema.ts,calendar,exception,exception-surface,
auditLogs,auditLogs,schema.ts,cross-product,canonical,adjacent,
bankAccounts,bankAccounts,schema.ts,accounting,canonical,adjacent,
bankTransactions,bankTransactions,schema.ts,accounting,canonical,adjacent,
batch_status_history,batchStatusHistory,schema.ts,operations,canonical,adjacent,
batch_zone_assignments,batchZoneAssignments,schema-storage.ts,operations,canonical,adjacent,
batches,batches,schema.ts,operations,canonical,pilot-core,Inventory pilot primary entity.
batchLocations,batchLocations,schema.ts,operations,canonical,adjacent,
billLineItems,billLineItems,schema.ts,accounting,canonical,adjacent,
bills,bills,schema.ts,accounting,canonical,adjacent,
brands,brands,schema.ts,relationships,canonical,adjacent,
calendar_availability,calendarAvailability,schema.ts,calendar,exception,exception-surface,
calendar_blocked_dates,calendarBlockedDates,schema.ts,calendar,exception,exception-surface,
calendar_event_attachments,calendarEventAttachments,schema.ts,calendar,exception,exception-surface,
calendar_event_history,calendarEventHistory,schema.ts,calendar,exception,exception-surface,
calendar_event_invitations,calendarEventInvitations,schema.ts,calendar,exception,exception-surface,
calendar_event_participants,calendarEventParticipants,schema.ts,calendar,exception,exception-surface,
calendar_event_permissions,calendarEventPermissions,schema.ts,calendar,exception,exception-surface,
calendar_events,calendarEvents,schema.ts,calendar,exception,exception-surface,Calendar/scheduling remains an exception-owned surface.
calendar_invitation_history,calendarInvitationHistory,schema.ts,calendar,exception,exception-surface,
calendar_invitation_settings,calendarInvitationSettings,schema.ts,calendar,exception,exception-surface,
calendar_recurrence_instances,calendarRecurrenceInstances,schema.ts,calendar,exception,exception-surface,
calendar_recurrence_rules,calendarRecurrenceRules,schema.ts,calendar,exception,exception-surface,
calendar_reminders,calendarReminders,schema.ts,calendar,exception,exception-surface,
calendar_user_access,calendarUserAccess,schema.ts,calendar,exception,exception-surface,
calendar_views,calendarViews,schema.ts,calendar,exception,exception-surface,
calendars,calendars,schema.ts,calendar,exception,exception-surface,
cash_location_transactions,cashLocationTransactions,schema.ts,platform,canonical,ignore-v1,
cash_locations,cashLocations,schema.ts,platform,canonical,ignore-v1,
categories,categories,schema.ts,relationships,canonical,adjacent,
client_achievements,clientAchievements,schema-gamification.ts,relationships,canonical,adjacent,
client_activity,clientActivity,schema.ts,relationships,canonical,adjacent,
client_catalog_views,clientCatalogViews,schema-vip-portal.ts,relationships,canonical,adjacent,
client_communications,clientCommunications,schema.ts,relationships,canonical,adjacent,
client_credit_limits,clientCreditLimits,schema.ts,relationships,canonical,adjacent,
client_crypto_wallets,clientCryptoWallets,schema-sprint5-trackd.ts,relationships,canonical,adjacent,
client_draft_interests,clientDraftInterests,schema-vip-portal.ts,relationships,canonical,adjacent,
client_interest_list_items,clientInterestListItems,schema-vip-portal.ts,relationships,canonical,adjacent,
client_interest_lists,clientInterestLists,schema-vip-portal.ts,relationships,canonical,adjacent,
client_ledger_adjustments,clientLedgerAdjustments,schema.ts,relationships,canonical,adjacent,
client_meeting_history,clientMeetingHistory,schema.ts,relationships,canonical,adjacent,
client_needs,clientNeeds,schema.ts,relationships,canonical,adjacent,
client_notes,clientNotes,schema.ts,relationships,canonical,adjacent,
client_payment_terms_config,clientPaymentTermsConfig,schema-sprint5-trackd.ts,relationships,canonical,adjacent,
client_points_summary,clientPointsSummary,schema-gamification.ts,relationships,canonical,adjacent,
