FlowID,Name,Type,Module,EntryPoint,Preconditions,StepsSummary,Outcomes,ErrorPaths,RulesReferenced,InvariantsReferenced,CrossFlowTouchpoints,RoleRequirements,IntentSource,Status
GF-001,Direct Intake,GoldenFlow,Inventory,/inventory,"User auth with Inventory role; Supplier exists; Categories configured","1.Navigate /inventory 2.Click New Intake 3.Fill form 4.Upload media 5.Submit","Batch created AWAITING_INTAKE; onHandQty set; Audit trail; Media linked","Validation errors show field-level; API error shows toast","RULE-001 (qty>0); RULE-002 (COGS validation)","INV-001; INV-006; INV-007","GF-007 (inventory view); FEAT-008 (verification)","Inventory Manager; Super Admin",docs/golden-flows/specs/GF-001-DIRECT-INTAKE.md,BLOCKED
GF-002,Procure-to-Pay,GoldenFlow,Purchasing,/purchase-orders,"User auth with Inventory/Accounting role; Supplier exists; Products defined","1.Navigate /purchase-orders 2.Create PO 3.Select supplier 4.Add line items 5.Submit 6.Receive 7.Record bill 8.Pay","PO tracked lifecycle; Batches created on receipt; Bill in AP; GL posted on payment","PO validation errors; Receiving qty > ordered warning","RULE-003 (qty>0); RULE-004 (cost>=0)","INV-001; INV-004; INV-007","GF-007 (received goods); GF-004 (bill payment AP side)","Inventory Manager; Accounting Manager",docs/golden-flows/specs/GF-002-PROCURE-TO-PAY.md,PARTIAL
GF-003,Order-to-Cash,GoldenFlow,Sales,/orders,"User auth with Sales role; Customer exists; Sellable batches available","1.Navigate /orders 2.Create order 3.Select customer 4.Add products 5.Review pricing 6.Confirm 7.Invoice 8.Payment 9.Fulfill","Order with line items; Inventory reserved; Invoice generated; Payment recorded; Order shipped","Insufficient inventory; Customer validation; Payment > due rejected","RULE-005 (order total calc); RULE-006 (inventory avail)","INV-001; INV-002; INV-003; INV-005; INV-008","GF-004 (invoice/payment); GF-005 (pick/pack); GF-007 (inventory)","Sales Rep; Sales Manager; Accounting; Fulfillment",docs/golden-flows/specs/GF-003-ORDER-TO-CASH.md,BLOCKED
GF-004,Invoice and Payment,GoldenFlow,Accounting,/accounting/invoices,"User auth with Accounting role; Invoice exists from order","1.Navigate /accounting/invoices 2.View invoice list 3.Select invoice 4.Record payment 5.Validate amount 6.Submit 7.GL entries posted 8.Client balance synced","Payment recorded; Invoice status updated; GL balanced; Client totalOwed updated","Amount > amountDue rejected; Invoice VOID/PAID rejected","RULE-007 (payment <= due); RULE-008 (GL balance)","INV-003; INV-004; INV-005","GF-003 (order source); GF-006 (ledger view)","Accounting Manager; Super Admin",docs/golden-flows/specs/GF-004-INVOICE-PAYMENT.md,IMPLEMENTED
GF-005,Pick and Pack,GoldenFlow,Fulfillment,/pick-pack,"User auth with Fulfillment/Admin role; Confirmed order with reserved inventory","1.Navigate /pick-pack 2.View queue 3.Select order 4.View items 5.Pick items 6.Pack to bags 7.Mark ready 8.Ship 9.Deliver","Items picked/packed; Order SHIPPED; reservedQty decremented; Movement logged","Unpack requires reason; Partial pick not supported","RULE-009 (all items packed to ship); RULE-010 (unpack audit)","INV-001; INV-006; INV-007; INV-008","GF-003 (order source); GF-007 (inventory decrement)","Fulfillment; Super Admin",docs/golden-flows/specs/GF-005-PICK-PACK.md,FUNCTIONAL
GF-006,Client Ledger Review,GoldenFlow,Accounting,/clients/:id/ledger,"User auth with Accounting/Sales role; Client exists with transactions","1.View dashboard AR/AP 2.Navigate /clients 3.Select client 4.Click View Ledger 5.View transactions 6.Filter 7.Export CSV 8.Add adjustment","Transaction history displayed; Running balance correct; Aging visible; Export accurate","No transactions - empty state; Export format errors","RULE-011 (balance calc); RULE-012 (aging buckets)","INV-003; INV-005","GF-003 (receivables); GF-004 (payments)","Accounting Manager; Sales Manager; Super Admin",docs/golden-flows/specs/GF-006-CLIENT-LEDGER.md,FUNCTIONAL
GF-007,Inventory Management,GoldenFlow,Inventory,/inventory,"User auth with Inventory role; Batches exist","1.Navigate /inventory 2.View dashboard 3.Filter/search 4.Select batch 5.View details 6.Adjust quantity 7.Change status 8.Bulk operations","Inventory displayed accurately; Adjustments logged; Status validated; Movements logged","Negative qty prevented; Invalid status transition rejected","RULE-013 (qty>=0); RULE-014 (status transitions); RULE-015 (reason required)","INV-001; INV-006; INV-007","GF-001 (intake); GF-002 (PO receipt); GF-003/GF-005 (sales/fulfill)","Inventory Manager; Super Admin",docs/golden-flows/specs/GF-007-INVENTORY-MGMT.md,BLOCKED
GF-008,Sample Request,GoldenFlow,Sales,/samples,"User auth with Sales role; Sample inventory available; Allocation not exceeded","1.Navigate /samples 2.Click New Sample 3.Select product/client/qty 4.Submit 5.Fulfill 6.Update location 7.Track conversion","Sample request created; sampleQty decremented; Allocation tracked; Location history","Allocation exceeded; Sample qty insufficient","RULE-016 (allocation limit); RULE-017 (sample qty avail)","INV-001; INV-007","GF-007 (sample inventory); GF-003 (conversion to order)","Sales Rep; Sales Manager; Super Admin",docs/golden-flows/specs/GF-008-SAMPLE-REQUEST.md,PARTIAL
FLOW-001,User Login,SupportingFlow,Auth,/login,"Valid credentials; QA_AUTH_ENABLED for test accounts","1.Navigate /login 2.Enter email/password 3.Submit 4.Validate 5.Create session 6.Redirect","Session created; User redirected to dashboard","Invalid credentials; Account locked; MFA required",,-,"All modules",All roles,docs/qa/QA_PLAYBOOK.md,IMPLEMENTED
FLOW-002,Create Client,SupportingFlow,CRM,/clients,"User auth with clients:create permission","1.Navigate /clients 2.Click Create 3.Fill form 4.Set isSeller/isBuyer 5.Submit","Client created; teriCode generated","Duplicate name warning; Validation errors","RULE-018 (name required)","INV-007","GF-001-003 (party selection); GF-006 (ledger)",Sales Manager; Super Admin,docs/reference/FLOW_GUIDE.md:Domain 2,IMPLEMENTED
FLOW-003,Generate Invoice from Order,SupportingFlow,Accounting,/orders/:id,"Order confirmed; User has accounting:create","1.View confirmed order 2.Click Generate Invoice 3.Review 4.Confirm","Invoice created DRAFT; Linked to order","Order not confirmed; Invoice already exists","RULE-019 (one invoice per order)","INV-002; INV-003","GF-003 (order source); GF-004 (invoice flow)",Accounting Manager; Super Admin,docs/golden-flows/specs/GF-004-INVOICE-PAYMENT.md,IMPLEMENTED
FLOW-004,Void Invoice,SupportingFlow,Accounting,/accounting/invoices,"Invoice not PAID; User has accounting:delete","1.Select invoice 2.Click Void 3.Confirm reason 4.Submit","Invoice VOID; GL reversed if entries exist","Invoice PAID cannot void","RULE-020 (void restrictions)","INV-004","GF-004",Accounting Manager; Super Admin,docs/golden-flows/specs/GF-004-INVOICE-PAYMENT.md,IMPLEMENTED
FLOW-005,Bulk Inventory Status Change,SupportingFlow,Inventory,/inventory,"Multiple batches selected; User has inventory:update","1.Select batches 2.Choose status action 3.Provide reason 4.Confirm","All batches updated; Audit logged","Invalid transition for any batch rejects all","RULE-014 (status transitions)","INV-007; INV-008","GF-007",Inventory Manager; Super Admin,docs/golden-flows/specs/GF-007-INVENTORY-MGMT.md,IMPLEMENTED
