capabilityId,workbook,sheet,ownerSurface,criticality,proofStatus,coverageMode,persona,routeOrEntry,requiredArtifact,notes
SALE-ORD-001,Sales,Orders,Sales -> Orders,P0,live-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,queue-filter-proof.png,March 15 2026 staging proof confirmed the live sheet-native Orders pilot supports in-place queue browse and filtering
SALE-ORD-002,Sales,Orders,Sales -> Orders,P0,live-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&orderId=:id,inspector-proof.png,March 15 2026 staging proof confirmed live inspector and deep-link behavior on the sheet-native Orders pilot
SALE-ORD-003,Sales,Orders,Sales -> Orders,P0,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document,create-order-proof.png,March 17 2026 local implementation moved new-draft entry into the sheet-native Orders document route; staging proof is still required before this row can close as live-proven
SALE-ORD-004,Sales,Orders,Sales -> Orders,P0,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,draft-edit-proof.png,March 17 2026 local implementation routes draft editing through the sheet-native Orders document surface with recalculation and undo preserved; staging proof is still pending
SALE-ORD-005,Sales,Orders,Sales -> Orders,P0,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,finalize-guardrail-proof.png,March 17 2026 local implementation keeps finalize and credit guardrails inside the sheet-native Orders document surface; staging proof is still pending
SALE-ORD-006,Sales,Orders,Sales -> Orders,P0,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,draft-lifecycle-proof.png,March 17 2026 local implementation keeps draft reopen and sheet-native draft delete on the queue while confirm and finalize return through the document surface; staging proof is still pending
SALE-ORD-007,Sales,Orders,Sales -> Orders,P0,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&orderId=:id,confirm-ship-proof.png,March 17 2026 local implementation returns finalized orders to the sheet-native queue with confirmed-order context preserved; staging proof is still pending
SALE-ORD-008,Sales,Orders,Accounting,P1,partial,adjacent-owned,qa.salesmanager@terp.test,/sales?tab=orders&orderId=:id,invoice-generation-proof.png,March 15 2026 staging proof confirmed the classic Orders surface still exposes the Generate Invoice entry point while invoice creation execution remains an Accounting-owned follow-on proof
SALE-ORD-009,Sales,Orders,Accounting,P1,live-proven,sheet-native-direct,qa.accounting@terp.test,/sales?tab=orders&surface=sheet-native&orderId=:id,accounting-handoff-proof.png,March 15 2026 staging proof confirmed the live sheet-native Orders pilot hands the selected order into Accounting payment context with order identity preserved
SALE-ORD-010,Sales,Orders,Returns,P1,partial,adjacent-owned,qa.salesrep@terp.test,/sales?tab=returns,returns-handoff-proof.png,March 15 2026 staging proof confirmed the Returns owner surface is still live with a Process Return entry point while return execution remains a follow-on proof
